task_id,set_id,alt1_att1_streetview,alt1_att2_intensiteit,alt2_att1_streetview,alt2_att2_intensiteit
204,6,/assets/images/179272092.jpeg,Middelmatig,/assets/images/183277002.jpeg,Middelmatig
205,6,/assets/images/179274126.jpeg,Hoog,/assets/images/183272020.jpeg,Hoog
206,6,/assets/images/183272020.jpeg,Hoog,/assets/images/186275037.jpeg,Hoog
207,6,/assets/images/185274084.jpeg,Hoog,/assets/images/186279088.jpeg,Hoog
208,6,/assets/images/177273181.jpeg,Middelmatig,/assets/images/186273103.jpeg,Hoog
209,6,/assets/images/185274093.jpeg,Middelmatig,/assets/images/600483010.jpeg,Laag
210,6,/assets/images/181277036.jpeg,Middelmatig,/assets/images/183274028.jpeg,Middelmatig
211,6,/assets/images/181265038.jpeg,Hoog,/assets/images/185273145.jpeg,Hoog
212,6,/assets/images/181277036.jpeg,Middelmatig,/assets/images/188267015.jpeg,Laag
213,6,/assets/images/181262018.jpeg,Hoog,/assets/images/600488624.jpeg,Hoog
214,6,/assets/images/182270019.jpeg,Middelmatig,/assets/images/186275023.jpeg,Laag
215,6,/assets/images/176275195.jpeg,Hoog,/assets/images/600483010.jpeg,Laag
216,6,/assets/images/176268028.jpeg,Laag,/assets/images/183277002.jpeg,Middelmatig
217,7,/assets/images/183277002.jpeg,Middelmatig,/assets/images/600483010.jpeg,Laag
218,7,/assets/images/176275195.jpeg,Hoog,/assets/images/192265118.jpeg,Hoog
219,7,/assets/images/181265038.jpeg,Hoog,/assets/images/186275043.jpeg,Hoog
220,7,/assets/images/180272143.jpeg,Middelmatig,/assets/images/181277036.jpeg,Middelmatig
221,7,/assets/images/187274156.jpeg,Hoog,/assets/images/600097669.jpeg,Hoog
222,7,/assets/images/178273039.jpeg,Laag,/assets/images/600450352.jpeg,Laag
223,7,/assets/images/187263075.jpeg,Hoog,/assets/images/600488624.jpeg,Hoog
224,7,/assets/images/180277024.jpeg,Laag,/assets/images/184273072.jpeg,Middelmatig
225,7,/assets/images/178272159.jpeg,Hoog,/assets/images/183277002.jpeg,Middelmatig
226,7,/assets/images/178273039.jpeg,Laag,/assets/images/183272020.jpeg,Hoog
227,7,/assets/images/183265014.jpeg,Hoog,/assets/images/185273145.jpeg,Hoog
228,7,/assets/images/183272020.jpeg,Hoog,/assets/images/186273103.jpeg,Hoog
229,7,/assets/images/183277002.jpeg,Middelmatig,/assets/images/184273072.jpeg,Middelmatig
230,7,/assets/images/180272041.jpeg,Hoog,/assets/images/184273072.jpeg,Middelmatig
231,7,/assets/images/180273020.jpeg,Laag,/assets/images/600483010.jpeg,Laag
232,7,/assets/images/183272020.jpeg,Hoog,/assets/images/600483010.jpeg,Laag
233,7,/assets/images/180271187.jpeg,Middelmatig,/assets/images/186273081.jpeg,Hoog
234,7,/assets/images/181277036.jpeg,Middelmatig,/assets/images/188267015.jpeg,Laag
235,7,/assets/images/181265038.jpeg,Hoog,/assets/images/183272020.jpeg,Hoog
236,7,/assets/images/181277036.jpeg,Middelmatig,/assets/images/183277002.jpeg,Middelmatig
237,7,/assets/images/183263020.jpeg,Middelmatig,/assets/images/186268009.jpeg,Middelmatig
238,7,/assets/images/181265038.jpeg,Hoog,/assets/images/185272110.jpeg,Hoog
239,7,/assets/images/182272213.jpeg,Hoog,/assets/images/184275160.jpeg,Middelmatig
240,7,/assets/images/186273103.jpeg,Hoog,/assets/images/190264080.jpeg,Hoog
241,7,/assets/images/187273034.jpeg,Middelmatig,/assets/images/189267114.jpeg,Middelmatig
242,7,/assets/images/182270019.jpeg,Middelmatig,/assets/images/183263025.jpeg,Middelmatig
243,7,/assets/images/179265069.jpeg,Hoog,/assets/images/185274084.jpeg,Hoog
244,7,/assets/images/176275195.jpeg,Hoog,/assets/images/183277002.jpeg,Middelmatig
245,7,/assets/images/181272016.jpeg,Laag,/assets/images/600483010.jpeg,Laag
246,7,/assets/images/176275195.jpeg,Hoog,/assets/images/600483010.jpeg,Laag
247,7,/assets/images/178273039.jpeg,Laag,/assets/images/191272052.jpeg,Middelmatig
248,7,/assets/images/181263098.jpeg,Hoog,/assets/images/186274160.jpeg,Hoog
249,7,/assets/images/182270019.jpeg,Middelmatig,/assets/images/600418191.jpeg,Laag
250,7,/assets/images/178273039.jpeg,Laag,/assets/images/183263020.jpeg,Middelmatig
251,7,/assets/images/182274179.jpeg,Middelmatig,/assets/images/190273120.jpeg,Hoog
252,7,/assets/images/176275195.jpeg,Hoog,/assets/images/183272020.jpeg,Hoog
253,8,/assets/images/183277002.jpeg,Middelmatig,/assets/images/191271032.jpeg,Middelmatig
254,8,/assets/images/176275195.jpeg,Hoog,/assets/images/183277002.jpeg,Middelmatig
255,8,/assets/images/183277002.jpeg,Middelmatig,/assets/images/188266137.jpeg,Laag
256,8,/assets/images/182270019.jpeg,Middelmatig,/assets/images/183268031.jpeg,Laag
257,8,/assets/images/186267025.jpeg,Laag,/assets/images/600483010.jpeg,Laag
258,8,/assets/images/181263098.jpeg,Hoog,/assets/images/186274160.jpeg,Hoog
259,8,/assets/images/179265069.jpeg,Hoog,/assets/images/183272020.jpeg,Hoog
260,8,/assets/images/185274084.jpeg,Hoog,/assets/images/187270060.jpeg,Middelmatig
261,8,/assets/images/183276077.jpeg,Hoog,/assets/images/184273072.jpeg,Middelmatig
262,8,/assets/images/181265038.jpeg,Hoog,/assets/images/189267114.jpeg,Middelmatig
263,8,/assets/images/182270019.jpeg,Middelmatig,/assets/images/600483010.jpeg,Laag
264,8,/assets/images/182270019.jpeg,Middelmatig,/assets/images/191272102.jpeg,Laag
265,8,/assets/images/182272213.jpeg,Hoog,/assets/images/184275160.jpeg,Middelmatig
266,8,/assets/images/177273181.jpeg,Middelmatig,/assets/images/186273081.jpeg,Hoog
267,8,/assets/images/186264019.jpeg,Laag,/assets/images/600483010.jpeg,Laag
