intersection_id,leg_bearing
181271019,247.7
181271022,70.3
181271023,96.4
181271037,330.6
181271051,273.5
181271052,359.5
181271063,330.1
181271064,282.1
181271070,282.8
181271108,335.6
181271108,335.6
181271108,335.6
181271108,335.6
181271108,335.6
181272001,341.5
181272002,336.3
181272003,157.8
181272005,341.5
181272006,337.4
181272007,158.4
181272008,251.0
181272009,251.3
181272010,159.9
181272011,162.7
181272012,342.9
181272013,342.9
181272014,53.6
181272015,48.4
181272017,46.5
181272019,71.3
181272024,256.0
181272025,254.2
181272026,343.7
181272027,252.5
181272028,243.8
181272033,146.6
181273004,39.7
181273008,52.5
181273010,79.9
181273012,278.3
181273015,234.2
181273016,231.3
181273017,228.6
181273020,189.1
181273021,189.5
181273022,217.0
181273023,318.6
181273024,48.7
181273102,234.6
181273108,38.6
181273116,85.7
181273122,342.0
181273128,227.8
181273133,226.2
181273143,161.6
181273149,227.1
181274005,180.2
181274007,102.1
181274008,252.5
181274009,95.8
181274010,160.6
181274011,23.4
181274012,7.7
181274013,114.6
181274014,121.0
181274015,1.4
181274016,27.6
181274017,128.5
181274018,125.0
181274027,259.4
181274029,242.4
181274031,252.8
181274033,250.6
181274034,251.0
181274106,2.8
181275009,225.2
181275017,7.9
181275023,82.2
181275024,259.8
181276002,67.7
181276003,227.7
181276006,166.6
181276014,152.4
181276020,150.4
181276022,190.0
181277009,332.8
181277010,332.8
181277011,332.8
181277012,152.7
181277013,62.3
181277014,152.6
181277016,152.6
181277023,242.7
181277024,242.6
181277025,153.4
181277026,154.6
181277027,243.1
181277029,156.5
181277030,200.1
181277059,56.5
182262012,177.8
182262049,70.2
182262050,207.4
182262051,309.2
182262052,204.7
182263001,101.0
182263002,100.9
182263003,190.9
182263005,180.4
182263007,101.5
182263008,102.6
182263009,190.6
182263010,9.7
182263011,281.1
182263015,281.8
182263017,191.0
182263044,280.2
182263050,279.9
182264010,113.8
182264014,100.7
182264021,10.2
182264022,284.1
182264023,281.0
182264024,280.9
182264026,194.8
182264028,279.7
182264029,207.6
182264030,12.5
182264031,192.5
182264032,190.6
182264036,280.9
182264038,175.6
182264043,282.9
182264045,281.2
182264046,33.4
182264052,136.7
182264053,288.4
182264067,122.9
182265007,187.6
182265008,94.5
182265010,306.1
182265015,183.5
182265021,124.1
182265024,20.4
182265025,95.9
182265026,188.7
182265028,276.1
182265030,96.6
182265032,187.7
182265033,184.1
182265034,182.2
182265040,214.2
182265096,275.0
182265097,268.4
182265098,178.8
182265100,113.3
182265101,30.1
182265105,34.6
182266003,315.5
182266006,208.4
182266009,155.9
182266013,280.7
182266015,15.6
182266016,9.4
182266017,288.0
182266018,6.5
182266019,274.1
182266020,3.6
182266022,200.0
182266024,291.0
182266025,288.5
182266027,288.2
182266029,272.2
182266030,272.0
182266032,195.9
182266033,201.4
